Year,Choice,Age,IMDB Top Films,ToolTip
11/28/2005,Matthew McConaughey,36,6,"2005 - Matthew McConaughey
Age:36;
Films:6;"
11/27/2006,George Clooney ,45,12,"2006 - George Clooney 
Age:45;
Films:12;"
11/26/2007,Matt Damon,37,8,"2007 - Matt Damon
Age:37;
Films:8;"
11/25/2008,Hugh Jackman,40,2,"2008 - Hugh Jackman
Age:40;
Films:2;"
11/18/2009,Johnny Depp ,46,9,"2009 - Johnny Depp 
Age:46;
Films:9;"
11/17/2010,Ryan Reynolds,34,1,"2010 - Ryan Reynolds
Age:34;
Films:1;"
11/16/2011,Bradley Cooper,36,3,"2011 - Bradley Cooper
Age:36;
Films:3;"
11/14/2012,Channing Tatum,32,2,"2012 - Channing Tatum
Age:32;
Films:2;"
11/19/2013,Adam Levine,34,4,"2013 - Adam Levine
Age:34;
Films:4;"
11/19/2014,Chris Hemsworth,31,6,"2014 - Chris Hemsworth
Age:31;
Films:6;"
11/17/2015,David Beckham,40,3,"2015 - David Beckham
Age:40;
Films:3;"
11/15/2016,Dwayne Johnson,44,1,"2016 - Dwayne Johnson
Age:44;
Films:1;"
11/14/2017,Blake Shelton,41,2,"2017 - Blake Shelton
Age:41;
Films:2;"
11/5/2018,Idris Elba,46,6,"2018 - Idris Elba
Age:46;
Films:6;"
11/13/2019,John Legend,40,5,"2019 - John Legend
Age:40;
Films:5;"
